Year,Area_Type,State_UT,Crime_Category,Crime_Subcategory,Victim_Gender,Victim_Age_Group,Cases_Reported,Cases_Solved,Cases_Pending,Cases_Investigated,Cases_Not_Investigated
2001,Urban,West Bengal,Crime Against Men,Murder,Female,13-17,2662,2288,374,2570,92
2001,Urban,Gujarat,Crime Against Men,Robbery,Female,0-12,2353,1863,490,2060,293
2008,Rural,Tamil Nadu,Crime Against Men,Robbery,Male,60+,2072,1505,567,1775,297
2009,Rural,Himachal Pradesh,Crime Against Men,Extortion,Male,13-17,4277,3527,750,3828,449
2010,Rural,Uttarakhand,Other Crimes,Corruption,Female,60+,5505,2191,3314,5124,381
2003,Urban,Kerala,Other Crimes,Fraud,Male,46-60,3565,1206,2359,3243,322
2008,Rural,Nagaland,Crime Against Men,Robbery,Female,31-45,5558,4921,637,5524,34
2007,Rural,Tripura,Crime Against Children,Child Labor,Male,18-30,9631,871,8760,8446,1185
2006,Rural,Karnataka,Other Crimes,Corruption,Female,46-60,5480,4489,991,5176,304
2008,Urban,Jharkhand,Crime Against Men,Assault,Male,0-12,6438,4987,1451,5154,1284
2001,Urban,Rajasthan,Crime Against Men,Extortion,Female,31-45,9326,8396,930,8667,659
2008,Urban,Uttarakhand,Property Crime,Theft,Female,46-60,8716,7174,1542,7307,1409
2007,Rural,Nagaland,Other Crimes,Fraud,Male,60+,5917,1789,4128,2557,3360
2006,Urban,Arunachal Pradesh,Property Crime,Burglary,Male,46-60,2443,1416,1027,1658,785
2003,Urban,Maharashtra,Crime Against Children,Child Abuse,Male,60+,2674,578,2096,2639,35
2009,Rural,Assam,Crime Against Women,Dowry Deaths,Male,18-30,3991,2851,1140,3071,920
2005,Rural,Uttarakhand,Crime Against Children,Kidnapping,Male,18-30,3404,218,3186,1620,1784
2001,Rural,Jharkhand,Other Crimes,Fraud,Male,0-12,3277,4,3273,3107,170
2006,Rural,Nagaland,Crime Against Women,Molestation,Male,46-60,3610,577,3033,2329,1281
2004,Urban,Jharkhand,Crime Against Men,Assault,Female,46-60,2260,963,1297,1571,689
2005,Rural,Delhi,Crime Against Women,Rape,Female,46-60,3991,2257,1734,3475,516
2003,Urban,Arunachal Pradesh,Crime Against Women,Dowry Deaths,Female,46-60,821,106,715,693,128
2002,Urban,Jammu & Kashmir,Crime Against Men,Robbery,Male,13-17,4566,1846,2720,3312,1254
2009,Urban,Andhra Pradesh,Crime Against Children,Kidnapping,Male,31-45,9799,8228,1571,9252,547
2005,Urban,Odisha,Other Crimes,Cyber Crime,Male,18-30,9198,5195,4003,7557,1641
2010,Urban,Andhra Pradesh,Property Crime,Burglary,Female,18-30,5454,1014,4440,2593,2861
2004,Urban,Bihar,Other Crimes,Corruption,Female,46-60,6426,1086,5340,4442,1984
2002,Rural,Kerala,Crime Against Women,Dowry Deaths,Female,13-17,3408,2395,1013,2780,628
2001,Urban,Rajasthan,Crime Against Children,Child Labor,Male,46-60,4693,1498,3195,4056,637
2008,Urban,Jharkhand,Crime Against Women,Domestic Violence,Female,18-30,1561,1483,78,1530,31
2008,Urban,Andhra Pradesh,Crime Against Women,Rape,Male,18-30,7050,2828,4222,3083,3967
2005,Urban,Kerala,Crime Against Children,Child Labor,Female,46-60,6094,4495,1599,5372,722
2002,Rural,Nagaland,Crime Against Children,Trafficking,Male,0-12,2248,1243,1005,1509,739
2004,Urban,Karnataka,Other Crimes,Cyber Crime,Female,31-45,3529,1264,2265,2124,1405
2009,Urban,Meghalaya,Crime Against Men,Assault,Female,0-12,9096,375,8721,7789,1307
2007,Urban,Punjab,Property Crime,Arson,Female,0-12,6862,4745,2117,6288,574
2007,Urban,Chhattisgarh,Crime Against Women,Dowry Deaths,Male,18-30,8654,3190,5464,6943,1711
2001,Urban,Jammu & Kashmir,Crime Against Women,Domestic Violence,Male,46-60,8151,3406,4745,6571,1580
2002,Urban,Maharashtra,Other Crimes,Cyber Crime,Female,60+,6851,6388,463,6824,27
2007,Urban,Tripura,Other Crimes,Fraud,Female,0-12,6977,2908,4069,6860,117
2001,Urban,Bihar,Other Crimes,Fraud,Male,13-17,9788,7053,2735,7937,1851
2008,Rural,Maharashtra,Crime Against Men,Robbery,Male,18-30,3616,2633,983,3404,212
2007,Rural,Punjab,Property Crime,Theft,Female,31-45,1003,861,142,998,5
2006,Urban,Assam,Other Crimes,Drug Offense,Female,18-30,7243,496,6747,1057,6186
2006,Urban,West Bengal,Property Crime,Theft,Female,60+,1093,296,797,881,212
2008,Rural,Karnataka,Crime Against Children,Trafficking,Male,46-60,9786,3502,6284,7122,2664
2004,Urban,Delhi,Crime Against Children,Child Abuse,Female,18-30,1005,22,983,804,201
2007,Rural,Gujarat,Other Crimes,Fraud,Female,13-17,7336,7257,79,7298,38
2004,Rural,Nagaland,Crime Against Women,Dowry Deaths,Male,46-60,4294,2816,1478,4229,65
2006,Urban,Haryana,Crime Against Women,Molestation,Female,18-30,7197,5013,2184,6224,973
2003,Rural,Odisha,Crime Against Men,Extortion,Male,13-17,677,359,318,506,171
2010,Rural,Tamil Nadu,Crime Against Men,Assault,Male,31-45,1916,1648,268,1699,217
2002,Rural,Sikkim,Crime Against Children,Trafficking,Male,31-45,1979,1389,590,1792,187
2004,Rural,Odisha,Crime Against Women,Rape,Female,31-45,4948,1613,3335,4402,546
2004,Urban,Jharkhand,Other Crimes,Fraud,Female,13-17,6792,367,6425,4811,1981
2006,Urban,Jharkhand,Crime Against Women,Domestic Violence,Male,0-12,3571,689,2882,1868,1703
2004,Rural,Chhattisgarh,Crime Against Children,Child Labor,Male,60+,2051,985,1066,1847,204
2004,Urban,Rajasthan,Crime Against Children,Child Abuse,Female,46-60,5398,2716,2682,3168,2230
2007,Rural,Karnataka,Property Crime,Burglary,Male,13-17,9727,1885,7842,8684,1043
2004,Rural,Delhi,Crime Against Women,Domestic Violence,Female,18-30,4257,2489,1768,4238,19
2009,Urban,Uttarakhand,Crime Against Men,Murder,Female,18-30,8127,6069,2058,7159,968
2010,Rural,Uttar Pradesh,Property Crime,Vandalism,Female,0-12,3662,2276,1386,2722,940
2008,Rural,Telangana,Crime Against Women,Molestation,Female,0-12,3930,1293,2637,3098,832
2009,Rural,West Bengal,Property Crime,Vandalism,Female,0-12,7199,7000,199,7136,63
2001,Urban,Madhya Pradesh,Property Crime,Vandalism,Male,13-17,4232,636,3596,3839,393
2005,Rural,Delhi,Property Crime,Theft,Female,31-45,75,67,8,72,3
2010,Rural,Tamil Nadu,Crime Against Children,Kidnapping,Female,60+,509,289,220,306,203
2006,Urban,Uttar Pradesh,Other Crimes,Fraud,Male,0-12,9134,5624,3510,7291,1843
2008,Urban,Andhra Pradesh,Crime Against Children,Child Abuse,Male,46-60,9083,2165,6918,5120,3963
2005,Rural,Gujarat,Crime Against Children,Child Labor,Male,13-17,90,13,77,46,44
2003,Urban,Uttarakhand,Crime Against Women,Domestic Violence,Male,46-60,8554,4136,4418,5965,2589
2002,Rural,Goa,Crime Against Women,Rape,Male,0-12,882,435,447,641,241
2002,Rural,Haryana,Crime Against Women,Dowry Deaths,Male,31-45,2531,72,2459,1448,1083
2001,Urban,Tamil Nadu,Property Crime,Arson,Female,18-30,2610,557,2053,2107,503
2001,Rural,Manipur,Crime Against Children,Child Labor,Male,13-17,4741,1574,3167,4109,632
2010,Urban,Uttarakhand,Crime Against Children,Trafficking,Female,13-17,6659,2944,3715,5706,953
2003,Rural,Jammu & Kashmir,Other Crimes,Corruption,Male,60+,9113,4215,4898,6740,2373
2010,Urban,Tripura,Crime Against Men,Extortion,Female,46-60,6824,5107,1717,6009,815
2005,Urban,Punjab,Crime Against Men,Murder,Male,13-17,1117,960,157,1003,114
2010,Rural,Sikkim,Crime Against Women,Molestation,Female,18-30,2063,124,1939,1221,842
2007,Rural,Delhi,Other Crimes,Cyber Crime,Female,46-60,399,285,114,384,15
2009,Rural,Manipur,Other Crimes,Cyber Crime,Male,60+,8650,685,7965,2421,6229
2007,Rural,Haryana,Other Crimes,Cyber Crime,Male,46-60,550,193,357,528,22
2002,Urban,Sikkim,Crime Against Children,Trafficking,Male,13-17,2692,2663,29,2681,11
2006,Urban,Chhattisgarh,Other Crimes,Corruption,Female,31-45,5026,3573,1453,4244,782
2002,Rural,Tamil Nadu,Crime Against Men,Murder,Male,18-30,2687,1911,776,2174,513
2009,Urban,Uttar Pradesh,Crime Against Women,Dowry Deaths,Male,31-45,5058,4864,194,4963,95
2004,Rural,Chhattisgarh,Crime Against Men,Assault,Male,46-60,3545,160,3385,3370,175
2004,Rural,Tamil Nadu,Crime Against Men,Murder,Male,60+,6656,3736,2920,4956,1700
2007,Urban,Manipur,Crime Against Women,Molestation,Male,60+,2059,465,1594,643,1416
